Company,Name,CV,Nationality,Year of Birth,Gender,PhD,Post-Doc,Committees,Chairperson of Committee,Employee Delegat,Member Since,Sustainability experience,Notes
BASF,Anke Schäferkordt,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1962,F,N,N,"Audit, Nomination",,N,2010,N,
BASF,Denise Schellemans,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,Belgian,1961,F,N,N,,,Y,2008,N,
BASF,Roland Strasser,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1975,M,N,N,,,Y,2018,N,
BASF,Michael Vassiliadis,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1964,M,N,N,"Audit, Personnel, Strategy",,N,2004,N,
Mercedes-Benz,Bernd Pischetsrieder,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/pischetsrieder.html,German,1948,M,Y,N,"Mediation, Nomination, Presidential","Mediation, Nomination, Presidential",N,2014,N,Chairman of supervisory board
Mercedes-Benz,Michael Brecht,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/brecht.html,German,1965,M,N,N,"Audit, Legal Affairs, Mediation, Presidential",,Y,2012,N,
Mercedes-Benz,Bader Al Saad,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/al-saad.html,Kuwaiti,1958,M,N,N,,,N,2017,N,"To retire in April 2022
Director General of the Arab Fund for Economic & Social Development"
Mercedes-Benz,Sari Baldauf,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/baldauf.html,Finnish,1955,F,Y,N,Nomination,,N,2008,Y,She is active in foundations that help young people to find their constructive roles in society and in organizations that are supporting the start-up-scene including social entrepreneurship.
Mercedes-Benz,Michael Bettag,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/bettag.html,German,1961,M,N,N,,,Y,2015,N,
Mercedes-Benz,Ben van Beurden,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/van-beurden.html,Dutch,1958,M,N,N,"Mediation, Nomination, Presidential",,N,2021,N,
Mercedes-Benz,Nadine Boguslawski,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/boguslawski.html,German,1977,F,N,N,,,Y,2021,N,
Mercedes-Benz,Clemens Börsig,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/boersig.html,German,1948,M,Y,N,"Audit, Legal Affairs","Audit, Legal Affairs",N,2007,N,To retire in April 2022
Mercedes-Benz,Martin Brudermüller,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/brudermueller.html,German,1961,M,Y,Y,,,N,2021,N,
Mercedes-Benz,Liz Centoni,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/centoni.html,American,1964,F,N,N,Legal Affairs,,N,2021,N,
Mercedes-Benz,Michael Häberle,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/haeberle.html,German,1969,M,N,N,Legal Affairs,,Y,2018,N,
Mercedes-Benz,Timotheus Höttges,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/hoettges.html,German,1962,M,N,N,,,N,2020,N,
Mercedes-Benz,Olaf Koch,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/koch.html,German,1970,M,N,N,"Audit, Legal Affairs",,N,2021,Y,"He and his partners founded Zintinus GmbH, a growth capital fund that invests in innovative concepts and more sustainable solutions in the food sector.
Unter Kochs Führung wurde Metro ab 2015 in den https://de.wikipedia.org/wiki/Dow_Jones_Sustainability_Index
 aufgenommen. Darüber hinaus engagierte sich Metro in diversen Initiativen im Bereich Nachhaltigkeit (source: Wikipedia)"
Mercedes-Benz,Ergun Lümali,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/luemali.html,German,1962,M,N,N,"Audit, Legal Affairs",,Y,2014,N,
Mercedes-Benz,Roman Romanowski,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/romanowski.html,German,1974,M,N,N,"Mediation, Presidential",,N,2021,N,
Mercedes-Benz,Helene Svahn,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/svhan.html,Swedish,1974,F,Y,Y,,,N,2021,N,
Mercedes-Benz,Monika Tielsch,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/tielsch.html,German,1967,F,N,N,,,Y,2021,N,
Mercedes-Benz,Elke Tönjes-Werner,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/toenjes-werner.html,German,1963,F,N,N,,,Y,2013,N,
Mercedes-Benz,Frank Weber,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/weber.html,German,1961,M,Y,N,,,Y,2013,N,
Mercedes-Benz,Roman Zitzelsberger,https://group.mercedes-benz.com/company/corporate-governance/supervisory-board/zitzelsberger.html,German,1966,M,N,N,,,Y,2015,N,
Merck,Alexander Putz,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Putz-Alexander-US.pdf,German,1966,M,N,N,,,Y,2020,N,
Merck,Anne Lange,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Lange-Anne-US.pdf,German,1984,F,N,N,,,Y,2019,N,
Merck,Christian Raabe,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Raabe-Christian-US.pdf,German,1964,M,Y,N,Audit,,Y,2019,N,
Merck,Daniel Thelen,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Thelen-Daniel-US.pdf,German,1974,M,Y,N,"Audit, Finance",,N,2019,N,
Merck,Dietmar Oeter,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Oetter-Dietmar-US.pdf,German,1966,M,Y,N,,,N,2014,N,
Merck,Edeltraud Glänzer,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Glaenzer-Edeltraud-US.pdf,German,1955,F,N,N,,,N,2008,N,"Deputy Regional Director Rhineland-Palatinate/Saarland
Areas of responsibility: Women, Labor Market and Social
Policy, Media and Public Relations
"
Merck,Gabriele Eismann,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Eismann-Gabriele-US.pdf,German,1961,F,Y,N,,,Y,2014,N,
Merck,Helene von Roeder,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-von-Roeder-Helene-US.pdf,German,1970,F,N,N,"Audit, Finance","Audit, Finance",N,2019,N,
Merck,Helga Rübsamen-Schaeff,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Ruebsamen-Schaeff-Helga-US.pdf,German,1949,F,Y,Y,"Nomination, Research and Development",Research and Development,N,2014,N,
Merck,Jürgen Glaser,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Glaser-Juergen-US.pdf,German,1962,M,N,N,,,N,2019,N,
Merck,Michael Kleinemeier,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Kleinemeier-Michael-US.pdf,German,1957,M,N,N,Personnel,,N,2019,N,
Merck,Peter Emanuel Merck,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Merck-Peter-Emanuel-US.pdf,German,1967,M,N,N,,,N,2019,N,
Merck,Renate Koehler,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Koehler-Renate-US.pdf,German,1955,F,N,N,,,Y,2019,N,
Merck,Sascha Held,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Held-Sascha-US.pdf,German,1982,M,N,N,Audit,,Y,2019,N,
Merck,Simon Thelen,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Thelen-Simon-US.pdf,German,1980,M,N,N,"Finance, Nomination, Research and Development",,N,2019,N,
Merck,Wolfgang Büchele,https://www.merckgroup.com/company/who-we-are/management-and-company-structure/supervisory-board/US/CV-Buechele-Wolfgang-US.pdf,German,1959,M,Y,N,"Finance, Nomination, Personnel",Nomination,N,2009,N,Chairman of the supervisory board
